fecha,viajeros
2009-01-01,16204.815817785888
2009-02-01,17754.437037243595
2009-03-01,27236.74471006802
2009-04-01,36564.959498224045
2009-05-01,26924.008001322585
2009-06-01,30067.35691343928
2009-07-01,28307.596798707826
2009-08-01,51365.15044045175
2009-09-01,33223.75025511329
2009-10-01,35033.18554977948
2009-11-01,38182.357177253354
2009-12-01,45869.99332881604
2010-01-01,19016.36973030279
2010-02-01,20638.23918072824
2010-03-01,21857.55870946281
2010-04-01,39169.02771231902
2010-05-01,32335.391583272623
2010-06-01,33832.65557331627
2010-07-01,41824.54209636303
2010-08-01,49011.42659093587
2010-09-01,29919.853689875574
2010-10-01,32624.87706011207
2010-11-01,38975.16226784681
2010-12-01,49153.36449247465
2011-01-01,19781.99766267787
2011-02-01,20024.563123753087
2011-03-01,31779.263113919333
2011-04-01,43041.709204256746
2011-05-01,33634.023705894186
2011-06-01,33768.87630967601
2011-07-01,41319.86378205304
2011-08-01,39986.95680294388
2011-09-01,31350.087621343144
2011-10-01,33131.44086127238
2011-11-01,43409.35031323984
2011-12-01,54537.257696111
2012-01-01,20562.41080891789
2012-02-01,22238.632687684734
2012-03-01,33414.05980710964
2012-04-01,37925.92683973227
2012-05-01,31571.300830320248
2012-06-01,35841.99524327122
2012-07-01,40239.64290308569
2012-08-01,39569.28528603381
2012-09-01,34117.79139282102
2012-10-01,36371.81930825689
2012-11-01,39519.41271287016
2012-12-01,40516.279174422685
2013-01-01,14105.706132349587
2013-02-01,15284.71462988515
2013-03-01,41537.224350942975
2013-04-01,50082.63160884642
2013-05-01,58264.692596449844
2013-06-01,52402.7935228657
2013-07-01,56163.58820574229
2013-08-01,61237.24866642869
2013-09-01,51372.65713674664
2013-10-01,31368.131308491735
2013-11-01,41322.61287625236
2013-12-01,53904.48592416262
2014-01-01,46158.80039651266
2014-02-01,31893.40770701749
2014-03-01,33010.74208081591
2014-04-01,62422.191388671636
2014-05-01,56029.82194230338
2014-06-01,44258.49492120304
2014-07-01,65937.77659476819
2014-08-01,69913.47698173931
2014-09-01,58339.75713246292
2014-10-01,72619.45403413894
2014-11-01,67060.48466319003
2014-12-01,92565.98533714117
2015-01-01,64770.80473791486
2015-02-01,53125.142226837794
2015-03-01,68995.87491797576
2015-04-01,69124.87353075722
2015-05-01,62803.45850449224
2015-06-01,62313.871343907645
2015-07-01,64085.95908205468
2015-08-01,71512.32016434913
2015-09-01,57387.24545061117
2015-10-01,61769.83467430166
2015-11-01,60200.49224743085
2015-12-01,89628.97448503341
2016-01-01,58566.949886503935
2016-02-01,48099.23988102588
2016-03-01,72127.9805988163
2016-04-01,45043.34063403904
2016-05-01,51124.87146566285
2016-06-01,49861.10166828773
2016-07-01,57044.28562981837
2016-08-01,54882.12513986865
2016-09-01,56756.32712879274
2016-10-01,43151.88807598828
2016-11-01,8246.280153887477
2016-12-01,57241.935894255614
2017-01-01,47656.032675678965
2017-02-01,49272.74258499439
2017-03-01,66234.65596287766
2017-04-01,85000.0999999983
2017-05-01,64036.51857741737
2017-06-01,64163.794715147706
2017-07-01,70739.0703192703
2017-08-01,66947.44214423212
2017-09-01,62166.047006579414
2017-10-01,63946.60335369448
2017-11-01,71034.06107808513
2017-12-01,93447.95882270728
2018-01-01,74341.2000314484
2018-02-01,58978.36005036289
2018-03-01,85422.55362997063
2018-04-01,69698.47405869399
2018-05-01,67063.40056248406
2018-06-01,63228.356479892944
2018-07-01,78335.26725164127
2018-08-01,83743.9957869675
2018-09-01,72030.6429486957
2018-10-01,74185.4149057892
2018-11-01,80025.38138175999
2018-12-01,99505.92068339475
2019-01-01,80376.14782608696
2019-02-01,63013.00689655173
2019-03-01,75403.0
2019-04-01,97505.05564142195
2019-05-01,72853.0
2019-06-01,66909.97495674614
2019-07-01,81324.03474903475
2019-08-01,88068.66592427617
2019-09-01,72793.20360824742
2019-10-01,78486.65457991928
2019-11-01,87418.17196302181
2019-12-01,111142.0
2020-01-01,83137.0
2020-02-01,70033.07283763278
2020-03-01,25493.172588832487
2020-04-01,201.0
2020-05-01,193.0
2020-06-01,208.0
2020-07-01,314.0
2020-08-01,325.0
2020-09-01,944.0
2020-10-01,2185.6999995599967
2020-11-01,4928.0
2020-12-01,80.0
2021-01-01,11834.0
2021-02-01,8405.0
2021-03-01,6391.436935480299
2021-04-01,5581.909090909091
2021-05-01,2173.0
2021-06-01,6330.0
2021-07-01,7752.0
2021-08-01,5674.0
2021-09-01,6964.0
2021-10-01,5512.0
2021-11-01,9665.0
2021-12-01,44275.12394366197
2022-01-01,10236.0
2022-02-01,34017.2
2022-03-01,44640.0
2022-04-01,44657.0
2022-05-01,40398.0
2022-06-01,43309.0
2022-07-01,53818.0
2022-08-01,60351.0
2022-09-01,57159.0
2022-10-01,61319.0
2022-11-01,79351.0
2022-12-01,93131.0
2023-01-01,45433.87234627529
2023-02-01,38432.78921090656
2023-03-01,44519.65945947915
2023-04-01,63026.790449355445
2023-05-01,42574.15617964926
2023-06-01,43575.71907316531
2023-07-01,52537.93363914358
2023-08-01,59555.01541972068
2023-09-01,51732.34620334615
2023-10-01,26576.944899911174
2023-11-01,54846.37611349384
2023-12-01,80147.63761785896
2024-01-01,55998.01466922343
2024-02-01,47578.588542963764
2024-03-01,69483.89288750275
2024-04-01,45274.21212442566
2024-05-01,52065.83724928357
2024-06-01,43108.65849387046
2024-07-01,52248.67751774468
2024-08-01,72500.72250770808
2024-09-01,47965.38622974952
2024-10-01,55027.38369546927
2024-11-01,70012.1751152075
2024-12-01,92168.47324426158
2025-01-01,57653.42273925849
2025-02-01,45789.08259423505
2025-03-01,52055.722781810844
2025-04-01,66666.01243304134
2025-05-01,49206.281433425764
2025-06-01,50110.56583836609
2025-07-01,50413.459748524794
2025-08-01,72139.24531894638
2025-09-01,47259.45296034146
2025-10-01,51903.318752531406
2025-11-01,66260.86478555299
2025-12-01,89656.1220472439
2026-01-01,52834.376321353244
2026-02-01,36006.248553054684
2026-03-01,45614.281816351235
2026-04-01,48757.224880501926
2026-05-01,44810.39636504233
2026-06-01,44166.617542663545
