fecha,viajeros
2009-01-01,23944.283191749302
2009-02-01,23873.689223057645
2009-03-01,30538.058098748552
2009-04-01,26838.0
2009-05-01,22030.08256880734
2009-06-01,32598.345347313236
2009-07-01,21993.258271439085
2009-08-01,26011.50521217251
2009-09-01,14474.867474489796
2009-10-01,18787.357271743054
2009-11-01,20314.123054891934
2009-12-01,31708.892341786293
2010-01-01,25314.432111448103
2010-02-01,23228.571853031743
2010-03-01,34659.89175456628
2010-04-01,23471.0
2010-05-01,20508.669724770643
2010-06-01,34485.79816513762
2010-07-01,39894.972518142764
2010-08-01,26862.36486354599
2010-09-01,14628.24277135633
2010-10-01,19542.92927517315
2010-11-01,21167.893799192258
2010-12-01,29307.037678141096
2011-01-01,23605.32084185056
2011-02-01,22870.850083767167
2011-03-01,29095.420604546005
2011-04-01,26254.472222222223
2011-05-01,21446.422018348625
2011-06-01,33053.69855832241
2011-07-01,37911.43262958998
2011-08-01,23520.17702551558
2011-09-01,14270.127753070255
2011-10-01,17741.110506779398
2011-11-01,20839.152930127657
2011-12-01,29847.221759684762
2012-01-01,23307.017881183507
2012-02-01,23524.75976971153
2012-03-01,32135.291274175273
2012-04-01,22151.0
2012-05-01,22179.37155963303
2012-06-01,36762.3999017038
2012-07-01,38311.67684478189
2012-08-01,23956.40081292684
2012-09-01,15367.614853485642
2012-10-01,19672.80714371638
2012-11-01,23148.453548289403
2012-12-01,33549.301495651394
2013-01-01,23432.495455128876
2013-02-01,23948.8548780689
2013-03-01,35950.94902554624
2013-04-01,22149.0
2013-05-01,23101.633027522937
2013-06-01,39348.16055045871
2013-07-01,40265.71280919398
2013-08-01,26287.311554908603
2013-09-01,15309.817177623261
2013-10-01,20388.543932910587
2013-11-01,23161.514661695186
2013-12-01,35261.040369477
2014-01-01,26136.0
2014-02-01,25764.88667198723
2014-03-01,35015.94087647865
2014-04-01,29150.458333333332
2014-05-01,24826.36231884058
2014-06-01,39754.50819672131
2014-07-01,41382.03947368421
