fecha,viajeros
2009-01-01,9716.063739030356
2009-02-01,6671.2808665105385
2009-03-01,6546.899294584191
2009-04-01,8074.994808287833
2009-05-01,5359.302019028855
2009-06-01,6247.791348778377
2009-07-01,5421.264486462294
2009-08-01,8370.118642904632
2009-09-01,7358.743439805061
2009-10-01,7295.072606569886
2009-11-01,8029.307062686392
2009-12-01,9764.648481166649
2010-01-01,9417.192035678318
2010-02-01,6813.758906231316
2010-03-01,9482.575090188997
2010-04-01,8404.82851171094
2010-05-01,7055.445136795875
2010-06-01,6900.646032852854
2010-07-01,8380.107833967328
2010-08-01,8091.506765530015
2010-09-01,6143.521423028288
2010-10-01,6582.803930094311
2010-11-01,7056.101350166117
2010-12-01,9030.141302304095
2011-01-01,9231.673024286887
2011-02-01,6520.273662458696
2011-03-01,7387.639475356071
2011-04-01,8805.25151996038
2011-05-01,6690.581224329135
2011-06-01,7399.604359230407
2011-07-01,8950.433246811366
2011-08-01,8418.334538611323
2011-09-01,7826.292875599253
2011-10-01,6698.14577072261
2011-11-01,8705.014381426432
2011-12-01,10122.39589140461
2012-01-01,11056.21746341272
2012-02-01,7962.948061499471
2012-03-01,9174.43030466852
2012-04-01,9255.193105352186
2012-05-01,7703.887615385811
2012-06-01,7145.210990682009
2012-07-01,8391.199700156632
2012-08-01,8152.6511208206675
2012-09-01,7380.1842246375945
2012-10-01,7723.109671276503
2012-11-01,7726.65889836306
2012-12-01,8484.648547876537
2013-01-01,9997.89043303122
2013-02-01,5895.8342827030365
2013-03-01,11120.434101096267
2013-04-01,7544.5220108892445
2013-05-01,7002.265866001672
2013-06-01,10315.843539160118
2013-07-01,8567.834694562542
2013-08-01,7631.732700892857
2013-09-01,6675.425788789541
2013-10-01,6375.923051419387
2013-11-01,6550.912116741874
2013-12-01,8810.552443144881
2014-01-01,10294.49957495041
2014-02-01,8270.57969824735
2014-03-01,8596.864922796944
2014-04-01,8297.816987306867
2014-05-01,5731.754836676918
2014-06-01,7410.139720558883
2014-07-01,10113.0
2014-08-01,9000.0
2014-09-01,7675.274356725148
2014-10-01,8212.266160835774
2014-11-01,8396.218309859152
2014-12-01,10824.0
2015-01-01,10414.107925891689
2015-02-01,6717.919821659981
2015-03-01,8888.176834389142
2015-04-01,9666.943572706796
2015-05-01,8204.44312728344
2015-06-01,7736.339588029772
2015-07-01,10039.120176220362
2015-08-01,9564.87557945421
2015-09-01,8031.439700476188
2015-10-01,9931.857766974908
2015-11-01,9562.797434699209
2015-12-01,12169.701641319778
2016-01-01,10315.241499720922
2016-02-01,5788.327663083472
2016-03-01,8777.512406906766
2016-04-01,5741.809434238161
2016-05-01,6171.629592422314
2016-06-01,5813.630813552312
2016-07-01,6982.042806867476
