fecha,viajeros
2009-01-01,16568.885205173097
2009-02-01,17125.94525136329
2009-03-01,31980.404442201263
2009-04-01,34212.014298087415
2009-05-01,25929.290930424977
2009-06-01,29430.190806968254
2009-07-01,25789.126855102313
2009-08-01,53861.380190261705
2009-09-01,33987.47919793572
2009-10-01,39463.995147339185
2009-11-01,43499.51757203995
2009-12-01,49548.559559395275
2010-01-01,22586.082382609296
2010-02-01,22850.694382359954
2010-03-01,19485.08349866491
2010-04-01,40538.39758712319
2010-05-01,32366.914042750363
2010-06-01,31429.763145149023
2010-07-01,39418.655452194565
2010-08-01,52352.88197975489
2010-09-01,32129.012671398443
2010-10-01,40543.983145085345
2010-11-01,44999.05088412506
2010-12-01,57196.09522071103
2011-01-01,31388.974559169903
2011-02-01,28102.1815444135
2011-03-01,44397.921300489026
2011-04-01,51943.0992485512
2011-05-01,36553.74790710227
2011-06-01,36454.27292158959
2011-07-01,41066.196752177886
2011-08-01,46801.9367884847
2011-09-01,34155.95112761942
2011-10-01,41338.851769510635
2011-11-01,51232.78837106636
2011-12-01,68691.8656127218
2012-01-01,36343.27834287095
2012-02-01,32800.41240429972
2012-03-01,47781.66062265682
2012-04-01,48545.66901393945
2012-05-01,37770.93170556197
2012-06-01,39661.12690506528
2012-07-01,42871.61882148754
2012-08-01,48683.16296206813
2012-09-01,38285.448184138346
2012-10-01,43746.935971631516
2012-11-01,52087.93788372347
2012-12-01,55652.3217115652
2013-01-01,29238.52087040327
2013-02-01,26145.894339695325
2013-03-01,50792.78139603955
2013-04-01,43507.637592011684
2013-05-01,47823.81283627119
2013-06-01,44111.28788582587
2013-07-01,43799.35505785503
2013-08-01,54310.220652827215
2013-09-01,42553.30728983641
2013-10-01,38011.508795123045
2013-11-01,46917.78752821731
2013-12-01,60433.50002934702
2014-01-01,52393.28964096732
2014-02-01,41379.25850810593
2014-03-01,44787.36082845071
2014-04-01,60586.23745669054
2014-05-01,48513.969268401146
2014-06-01,41588.14627647754
2014-07-01,53865.30371046099
2014-08-01,62383.46758425488
2014-09-01,52964.02520672367
2014-10-01,59155.08019728692
2014-11-01,65796.20970108156
2014-12-01,85471.0756542434
2015-01-01,54714.0719993571
2015-02-01,45547.80790406154
2015-03-01,62428.83699401141
2015-04-01,66425.90955726331
2015-05-01,60265.472923654466
2015-06-01,53818.68170329714
2015-07-01,56732.28835121273
2015-08-01,76142.9776593017
2015-09-01,54292.75967316011
2015-10-01,57640.22095441022
2015-11-01,56973.34175331938
2015-12-01,86139.05880624699
2016-01-01,58251.84340412572
2016-02-01,50205.605576386726
2016-03-01,98629.98091830227
2016-04-01,60849.02699924244
2016-05-01,61790.38948591514
2016-06-01,53189.72418055778
2016-07-01,65181.99518811811
2016-08-01,83299.04838522087
2016-09-01,50824.096855031414
2016-10-01,76760.8554005693
2016-11-01,72686.0795910281
2016-12-01,116394.78329555545
2017-01-01,76690.88110453174
2017-02-01,64978.909442393386
2017-03-01,96219.40197912582
2017-04-01,125581.34295861192
2017-05-01,67822.4229017111
2017-06-01,61358.62286908917
2017-07-01,66538.7451320764
2017-08-01,88609.76515671561
2017-09-01,57725.71225698774
2017-10-01,60040.720439934885
2017-11-01,68498.86333357221
2017-12-01,91050.74659510718
2018-01-01,84985.58475025417
2018-02-01,70780.19423540527
2018-03-01,131338.94056583405
2018-04-01,89008.19323947188
2018-05-01,81021.9267214902
2018-06-01,79888.74709824582
2018-07-01,91212.76409972346
2018-08-01,115676.82459112306
2018-09-01,75079.65821611736
2018-10-01,70095.96927856913
2018-11-01,76572.11449315403
2018-12-01,95295.40131839644
2019-01-01,94239.0
2019-02-01,73449.0
2019-03-01,116051.0
2019-04-01,121462.0
2019-05-01,85269.0
2019-06-01,83083.0
2019-07-01,89058.0
2019-08-01,115093.0
2019-09-01,79744.0
2019-10-01,78975.0
2019-11-01,88202.00000000001
2019-12-01,122544.0
2020-01-01,101579.0
2020-02-01,80596.0
2020-03-01,38584.0
