fecha,viajeros
2009-01-01,55960.44076456131
2009-02-01,39897.17625017468
2009-03-01,47640.32522508132
2009-04-01,56937.3086789309
2009-05-01,43847.24489585558
2009-06-01,50291.142773526546
2009-07-01,55912.79144344507
2009-08-01,51436.01366281886
2009-09-01,47033.80003652773
2009-10-01,55160.85262546486
2009-11-01,64353.68046539613
2009-12-01,82211.97324627927
2010-01-01,64304.65307986922
2010-02-01,41607.087734268935
2010-03-01,53669.72244500042
2010-04-01,59217.29870863094
2010-05-01,49047.515377296644
2010-06-01,51874.91467459661
2010-07-01,62142.19338023144
2010-08-01,53930.94662624919
2010-09-01,47193.62134061144
2010-10-01,57463.897072302134
2010-11-01,66635.50896559967
2010-12-01,86552.01897554056
2011-01-01,65088.04143106499
2011-02-01,44033.207747255336
2011-03-01,49589.81722031296
2011-04-01,64644.00232570427
2011-05-01,51084.459693877776
2011-06-01,54961.25692164008
2011-07-01,66991.55065528628
2011-08-01,57383.10462688481
2011-09-01,53010.338472468036
2011-10-01,54249.62512149063
2011-11-01,67274.95053221963
2011-12-01,89402.09519732054
2012-01-01,65230.447380957725
2012-02-01,43622.78255374995
2012-03-01,54821.820460650204
2012-04-01,61395.34204934523
2012-05-01,50842.775361329725
2012-06-01,56747.60414607477
2012-07-01,62828.882704821146
2012-08-01,51637.987584429284
2012-09-01,52221.60053524224
2012-10-01,60801.59028499338
2012-11-01,70406.39459220393
2012-12-01,90549.26317028623
2013-01-01,65774.91381257956
2013-02-01,43738.44178400329
2013-03-01,72065.93392664733
2013-04-01,65441.151245655215
2013-05-01,66061.33733460998
2013-06-01,69324.73370998353
2013-07-01,71232.28741482091
2013-08-01,67261.56104311164
2013-09-01,64372.5713408653
2013-10-01,67075.86375887546
2013-11-01,82824.6241807725
2013-12-01,110563.43921020211
2014-01-01,82466.54840269327
2014-02-01,54795.266951163154
2014-03-01,65402.46143654731
2014-04-01,85021.38238636598
2014-05-01,72183.22214397593
2014-06-01,75020.10775363531
2014-07-01,82296.81632004584
2014-08-01,77127.21410244897
2014-09-01,70745.4369011983
2014-10-01,91583.41835131706
2014-11-01,100018.20777223048
2014-12-01,135227.61784640938
2015-01-01,96589.20398943269
2015-02-01,67696.48941172865
2015-03-01,84741.84401522117
2015-04-01,94514.85979383305
2015-05-01,90466.79217142663
2015-06-01,100124.81241243894
2015-07-01,92956.23317785068
2015-08-01,82315.99701443115
2015-09-01,85983.05221955843
2015-10-01,93168.43294739089
2015-11-01,102152.66605349767
2015-12-01,139231.90535753957
2016-01-01,109027.5538451095
2016-02-01,79619.23877523257
2016-03-01,119655.10790110599
2016-04-01,83995.9270185283
2016-05-01,93732.97371072051
2016-06-01,92242.276319771
2016-07-01,106716.51244176125
2016-08-01,102166.77098109642
2016-09-01,76827.572970391
2016-10-01,99989.47377977407
2016-11-01,101549.42432219992
2016-12-01,129032.83064316852
2017-01-01,100367.88004118143
2017-02-01,85750.25210708009
2017-03-01,104555.20078804008
2017-04-01,158561.00000000015
2017-05-01,106995.18497975149
2017-06-01,98514.36300308758
2017-07-01,109219.56290658457
2017-08-01,97991.24910886055
2017-09-01,87590.8945477044
2017-10-01,97929.34058431962
2017-11-01,118370.24735673534
2017-12-01,157649.9695238579
2018-01-01,117782.76753155133
2018-02-01,92782.05204264261
2018-03-01,146901.10093240076
2018-04-01,131029.67951024546
2018-05-01,112323.69518809806
2018-06-01,133012.98060679235
2018-07-01,125741.843060859
2018-08-01,132213.66456414756
2018-09-01,121159.75683255104
2018-10-01,121937.62752929973
2018-11-01,131237.6725913073
2018-12-01,172120.53297628206
2019-01-01,150451.0
2019-02-01,116282.0
2019-03-01,129350.0
2019-04-01,157272.99999999919
2019-05-01,120330.99999999924
2019-06-01,140360.99999999884
2019-07-01,146079.0
2019-08-01,143506.9999999998
2019-09-01,137648.99999999942
2019-10-01,124402.99999999869
2019-11-01,139325.00000000244
2019-12-01,198429.0000000001
2020-01-01,167231.0
2020-02-01,129724.0
2020-03-01,67756.0
2020-04-01,10039.0
2020-05-01,9779.0
2020-06-01,11817.0
2020-07-01,13484.0
2020-08-01,15357.0
2020-09-01,10640.0
2020-10-01,10870.25
2020-11-01,23763.0
2020-12-01,37313.0
2021-01-01,44423.0
2021-02-01,30093.0
2021-03-01,29318.0
2021-04-01,19506.0
2021-05-01,35050.0
2021-06-01,40067.0
2021-07-01,39578.0
2021-08-01,31184.0
2021-09-01,27617.0
2021-10-01,33374.0
2021-11-01,40029.0
2021-12-01,66602.0
2022-01-01,56694.0
2022-02-01,92579.0
2022-03-01,88060.0
2022-04-01,136433.0
2022-05-01,124059.0
2022-06-01,120909.0
2022-07-01,120389.0
2022-08-01,121969.0
2022-09-01,114330.0
2022-10-01,131294.0
2022-11-01,139062.0
2022-12-01,169557.0
2023-01-01,0.0
2023-02-01,0.0
2023-03-01,0.0
2023-04-01,0.0
2023-05-01,0.0
2023-06-01,0.0
2023-07-01,0.0
2023-08-01,0.0
2023-09-01,0.0
2023-10-01,0.0
2023-11-01,0.0
2023-12-01,0.0
2024-01-01,0.0
2024-02-01,0.0
2024-03-01,0.0
2024-04-01,0.0
2024-05-01,0.0
2024-06-01,0.0
2024-07-01,0.0
2024-08-01,0.0
2024-09-01,0.0
2024-10-01,0.0
2024-11-01,0.0
2024-12-01,0.0
2025-01-01,0.0
2025-02-01,0.0
2025-03-01,0.0
2025-04-01,0.0
2025-05-01,0.0
2025-06-01,0.0
2025-07-01,0.0
2025-08-01,0.0
2025-09-01,0.0
2025-10-01,0.0
2025-11-01,0.0
2025-12-01,0.0
2026-01-01,0.0
2026-02-01,0.0
2026-03-01,0.0
2026-04-01,0.0
2026-05-01,0.0
2026-06-01,0.0
