fecha,y_real,y_pred
2021-04-01,59743.1902214643,101045.47634187243
2021-05-01,73873.0,118579.32746884896
2021-06-01,95146.0,135655.61034645775
2021-07-01,97594.66433359256,152153.54670141943
2021-08-01,72327.0,167954.23058882795
2021-09-01,67022.99999999996,182951.12259628435
2021-10-01,83528.0,197099.40468167956
2021-11-01,98578.0,210199.8244451258
2021-12-01,223569.1278011966,222098.2617657741
2022-01-01,134303.0,232638.842033251
2022-02-01,193903.6,241971.52172908594
2022-03-01,227886.0,250042.95913444966
2022-04-01,292648.0,256905.6580030253
2022-05-01,260013.0,262526.3877794893
2022-06-01,269366.0,266778.01343933697
2022-07-01,306246.0,269691.33020168624
2022-08-01,297602.0,271310.0955590083
2022-09-01,246464.0,271692.2862248464
2022-10-01,281938.0,270917.0899055038
2022-11-01,318693.0,269068.7220981599
2022-12-01,400266.0,266222.6520387823
2023-01-01,258166.18821264655,262529.530148787
2023-02-01,198751.85766927944,258090.98588854517
2023-03-01,251839.50267324003,253115.14885121075
2023-04-01,283179.2556557847,247683.4849608277
2023-05-01,213191.0389184069,241958.71657419764
2023-06-01,224580.17382775573,236084.79039156795
2023-07-01,257626.95044792976,230203.11303133718
2023-08-01,264514.08794636687,224446.75074005936
2023-09-01,218486.4781049799,218937.94168341672
2023-10-01,164499.38846570507,213785.2285342355
2023-11-01,255894.2762344005,209080.7481789667
2023-12-01,327097.61316611955,204899.11879522624
2024-01-01,292731.8668067316,201296.24837010322
2024-02-01,265990.67321318097,198309.216861311
2024-03-01,322310.3940022896,195956.38094283055
2024-04-01,240988.81729405135,194238.85353712153
2024-05-01,238807.9548151027,193141.82622886827
2024-06-01,234781.22686199367,192636.8605759262
2024-07-01,266974.95506929053,192684.1008610356
2024-08-01,282101.83101094456,193234.5392163571
2024-09-01,215658.8098341591,194232.17600236382
2024-10-01,249665.70083733916,195616.52061007413
2024-11-01,302674.076910829,197324.11027287907
2024-12-01,361749.6884796847,199290.76209787218
2025-01-01,289543.5982553855,201452.72526792547
2025-02-01,254428.88643334268,203748.47481083023
2025-03-01,278538.2509841704,206119.16986148618
2025-04-01,300287.6910735994,208509.9498892369
2025-05-01,247981.9259720942,210870.43223967517
2025-06-01,254190.0961535216,213155.35370170814
2025-07-01,283388.6987866118,215324.9763969247
2025-08-01,293780.5243930469,217344.72116984427
2025-09-01,218069.51122057904,219186.30669678716
2025-10-01,255920.93232213068,220826.8722411123
2025-11-01,310585.5201071752,222249.37044937938
2025-12-01,365573.0218067979,223442.31858044627
2026-01-01,300664.07527322107,224399.53664136076
2026-02-01,236844.11361811563,225119.92480286857
2026-03-01,291160.36570034793,225607.21462851082
2026-04-01,260951.04561236835,225869.41915999673
2026-05-01,241312.2952590584,225918.3615618091
2026-06-01,245687.58097717003,225769.42635030145
