serie,DN_HistogramMode_5,DN_HistogramMode_10,CO_f1ecac,CO_FirstMin_ac,CO_HistogramAMI_even_2_5,CO_trev_1_num,MD_hrv_classic_pnn40,SB_BinaryStats_mean_longstretch1,SB_TransitionMatrix_3ac_sumdiagcov,PD_PeriodicityWang_th0_01,CO_Embed2_Dist_tau_d_expfit_meandiff,IN_AutoMutualInfoStats_40_gaussian_fmmi,FC_LocalSimple_mean1_tauresrat,DN_OutlierInclude_p_001_mdrmd,DN_OutlierInclude_n_001_mdrmd,SP_Summaries_welch_rect_area_5_1,SB_BinaryStats_diff_longstretch0,SB_MotifThree_quantile_hh,SC_FluctAnal_2_rsrangefit_50_1_logi_prop_r1,SC_FluctAnal_2_dfa_50_1_2_logi_prop_r1,SP_Summaries_welch_rect_centroid,FC_LocalSimple_mean3_stderr
S0_total,0.17456419352530728,-0.5808433646106735,8.105553796674462,10.0,0.4672072651766101,-0.06755189305074379,0.9178082191780822,30.0,0.046296296296296294,11.0,0.33322392263631084,9.0,0.045454545454545456,0.6258503401360545,0.8911564625850341,0.8168130147426117,6.0,1.8333197272873145,0.85,0.75,0.14726215563703127,0.6139156020782529
S1_la_aurora,-0.33501705598578746,-0.06902620970160256,6.237582972710329,10.0,0.2849098184789278,-0.09757724220558314,0.9315068493150684,42.0,0.06333333333333332,11.0,0.2883316685011366,9.0,0.14285714285714285,0.6054421768707483,0.8911564625850341,0.7904846539145393,5.0,1.9555499955245452,0.15,0.8,0.17180584824320314,0.6871318462725453
S2_valle_nuevo,0.28651428750790153,0.058508767825103114,8.284984952313106,11.0,0.3411343005134361,-0.042117414928003284,0.9246575342465754,38.0,0.046296296296296294,7.0,0.2904634044097934,5.0,0.045454545454545456,0.5918367346938775,0.5714285714285714,0.8048353822392036,6.0,1.8391395465633171,0.825,0.65,0.14726215563703127,0.6161509126168953
S3_san_cristobal,-0.2325355410415203,-0.9347444074369522,5.461214029468768,7.0,0.34073538341176873,-0.015131431248973225,0.8767123287671232,29.0,0.0625,11.0,0.20310873367723528,6.0,0.03333333333333333,0.5442176870748299,-0.2789115646258503,0.7831140253957223,5.0,1.7645556280754142,0.15,0.8,0.17180584824320314,0.711351166686873
S4_el_salvador,-0.5443700782964641,-0.3120004051879621,8.697640942449333,3.0,0.40111458472444694,-0.04378219662634516,0.8904109589041096,42.0,0.04000000000000001,3.0,0.20941813696221234,2.0,0.038461538461538464,0.5782312925170068,0.870748299319728,0.7779513042531898,5.0,1.85251834865965,0.85,0.75,0.14726215563703127,0.6478530240046706
S5_estados_unidos,-0.04919286204175344,-0.2974058322709683,1.7573565693882665,2.0,0.18092853393916805,-0.08397514993753662,0.9315068493150684,12.0,0.014322916666666668,3.0,0.20275165671813183,1.0,0.1111111111111111,0.435374149659864,0.8911564625850341,0.5796266596366518,5.0,2.1336694950845763,0.825,0.75,0.3681553890925781,0.9285540113796391
S6_guatemala,-0.4299456429615738,-0.6820111695572787,8.58462119558728,10.0,0.4233092116735467,-0.02371480397188517,0.9452054794520548,42.0,0.1111111111111111,11.0,0.31395241405313207,9.0,0.02631578947368421,0.6394557823129252,0.8775510204081634,0.8223403135688907,6.0,1.7218911954794907,0.85,0.775,0.12271846303085937,0.6129625985027082
