caracteristica,PC1,PC2
DN_HistogramMode_5,0.042374455146775764,-0.08617598169965562
DN_HistogramMode_10,-0.23842522701073118,-0.12654240832468525
CO_f1ecac,0.19511522439665288,0.32951636286312047
CO_FirstMin_ac,0.19186115247041172,-0.2979327382379895
CO_HistogramAMI_even_2_5,0.30259354537880817,0.07610623897271808
CO_trev_1_num,-0.2190689391742649,0.285594768077939
MD_hrv_classic_pnn40,-0.2939799581854089,-0.07601965962398302
SB_BinaryStats_mean_longstretch1,0.29997869864267196,-0.09234377638074825
SB_TransitionMatrix_3ac_sumdiagcov,0.1901212639833083,-0.008691425895547918
PD_PeriodicityWang_th0_01,0.28772361540108704,-0.11311687910302137
CO_Embed2_Dist_tau_d_expfit_meandiff,-0.11391200844728652,0.3060512305115146
IN_AutoMutualInfoStats_40_gaussian_fmmi,0.17330789148153333,-0.31503636817310654
FC_LocalSimple_mean1_tauresrat,-0.21773617172436124,-0.276135079331794
DN_OutlierInclude_p_001_mdrmd,-0.11842836543470468,0.3480255693476344
DN_OutlierInclude_n_001_mdrmd,0.14945053394325403,0.05549811901792374
SP_Summaries_welch_rect_area_5_1,0.2685978947649366,0.09909020412198219
SB_BinaryStats_diff_longstretch0,0.1576588876209473,-0.03879667650880702
SB_MotifThree_quantile_hh,-0.25781288058515844,-0.10222085863532854
SC_FluctAnal_2_rsrangefit_50_1_logi_prop_r1,0.12042160942073354,-0.2765210172876205
SC_FluctAnal_2_dfa_50_1_2_logi_prop_r1,0.14304874753531402,-0.16732911720439625
SP_Summaries_welch_rect_centroid,-0.21043923799618683,-0.32400472632918237
FC_LocalSimple_mean3_stderr,-0.24916206229963175,-0.20024758226002878
