serie,modelo,parametros,transformacion,AIC,BIC,MAE,RMSE,MAPE,Ljung_Box_p,Jarque_Bera_p,mejor_modelo
S0_total,LSTM-2capas-w24,"{'lookback': 24, 'unidades': 64, 'capas': 2, 'dropout': 0.2, 'epochs': 100, 'batch_size': 16}","MinMax(0,1)",,,39076.56905768302,50988.180899854015,23.436692722326807,,,True
S0_total,LSTM-catch22-contexto-w24,"{'lookback': 24, 'unidades': 64, 'capas': 2, 'dropout': 0.2, 'epochs': 100, 'batch_size': 16}",MinMax objetivo + catch22 estandarizado en train,,,55256.39114699106,67734.69894114921,29.161530747649618,,,False
