serie,modelo,parametros,transformacion,AIC,BIC,MAE,RMSE,MAPE,Ljung_Box_p,Jarque_Bera_p,mejor_modelo
S0_total,LSTM-2capas-w24,"{'lookback': 24, 'unidades': 64, 'capas': 2, 'dropout': 0.2, 'epochs': 100, 'batch_size': 16}","MinMax(0,1)",,,39076.56583633883,50988.17797227304,23.43669193727187,,,True
S0_total,LSTM-1capa-w12,"{'lookback': 12, 'unidades': 50, 'capas': 1, 'dropout': 0.0, 'epochs': 100, 'batch_size': 16}","MinMax(0,1)",,,85372.54909644595,101262.6799818344,32.672410497863,,,False
S1_la_aurora,LSTM-2capas-w24,"{'lookback': 24, 'unidades': 64, 'capas': 2, 'dropout': 0.2, 'epochs': 100, 'batch_size': 16}","MinMax(0,1)",,,14872.789639214983,18998.196804373456,18.248487404016632,,,True
S1_la_aurora,LSTM-1capa-w12,"{'lookback': 12, 'unidades': 50, 'capas': 1, 'dropout': 0.0, 'epochs': 100, 'batch_size': 16}","MinMax(0,1)",,,17851.217878597898,23957.66362927853,18.2963918101818,,,False
